,name,path,activity,startDate,endDate,element,tranzitLength,fromKP,toKP,tranzitPathWgs,tranzitPathOc
18,Termination GP_CS line_003,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_003/Termination GP_CS line_003,Pipelay,2021-11-16 10:44:13.189,2021-11-17 10:44:13.189,GP_CS line_003,,,,,
19,TRANSIT : GP_CS line_003 - GP_CS line_001,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/TRANSIT : GP_CS line_003 - GP_CS line_001,Transit,2021-11-17 10:44:13.189,2021-11-17 10:48:13.189,,64.91090300050678,,,"[{'lon': 0.9056034, 'lat': 58.043983}, {'lon': 0.9045052, 'lat': 58.043957}]","[{'x': 16699.104588082235, 'y': 783795.8180360505, 'z': 0}, {'x': 16634.1996802825, 'y': 783794.9358388791, 'z': 0}]"
20,Initiation GP_CS line_001,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_001/Initiation GP_CS line_001,Pipelay,2021-11-17 10:48:13.189,2021-11-18 10:48:13.189,GP_CS line_001,,,,,
21,Lay GP_CS line_001 From KP: 0.00 To KP: 1.20,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_001/Lay GP_CS line_001 From KP: 0.00 To KP: 1.20,Pipelay,2021-11-18 10:48:13.189,2021-11-18 19:03:13.189,GP_CS line_001,1199.1914,0.0,-1.0,"[{'lon': 0.892205080610903, 'lat': 50.996272384249}, {'lon': 0.891154562073766, 'lat': 50.99566515381275}, {'lon': 0.8890535890886428, 'lat': 50.99445066145888}, {'lon': 0.8885699355474799, 'lat': 50.993605054135145}, {'lon': 0.8880862877956286, 'lat': 50.99275944487609}, {'lon': 0.8861558162368688, 'lat': 50.98938384871676}, {'lon': 0.8821952691619392, 'lat': 50.99039660063948}]","[{'x': -7574.747, 'y': -203.68413, 'z': -142.96907}, {'x': -7650.389, 'y': -269.09222, 'z': -143.44211}, {'x': -7801.6743, 'y': -399.9088, 'z': -143.80943}, {'x': -7838.305, 'y': -492.95804, 'z': -143.89836}, {'x': -7874.9365, 'y': -586.00726, 'z': -143.9873}, {'x': -8021.1636, 'y': -957.44934, 'z': -144.35149}, {'x': -8295.862, 'y': -836.86487, 'z': -143.61795}]"
22,Termination GP_CS line_001,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_001/Termination GP_CS line_001,Pipelay,2021-11-18 19:03:13.189,2021-11-19 19:03:13.189,GP_CS line_001,,,,,
23,TRANSIT : GP_CS line_001 - GP_CS line_002,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/TRANSIT : GP_CS line_001 - GP_CS line_002,Transit,2021-11-19 19:03:13.189,2021-11-19 19:10:13.189,,966.3662410473302,,,"[{'lon': 0.9045052, 'lat': 58.043957}, {'lon': 0.8923817, 'lat': 58.038128}]","[{'x': 16634.1996802825, 'y': 783794.9358388791, 'z': 0}, {'x': 15898.422313446412, 'y': 783168.4413231108, 'z': 0}]"
24,Initiation GP_CS line_002,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_002/Initiation GP_CS line_002,Pipelay,2021-11-19 19:10:13.189,2021-11-20 19:10:13.189,GP_CS line_002,,,,,
25,Lay GP_CS line_002 From KP: 0.00 To KP: 1.59,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_002/Lay GP_CS line_002 From KP: 0.00 To KP: 1.59,Pipelay,2021-11-20 19:10:13.189,2021-11-21 06:05:13.189,GP_CS line_002,1594.6162,0.0,-1.0,"[{'lon': 0.8819837696904611, 'lat': 50.990450677717924}, {'lon': 0.878023035930251, 'lat': 50.99146328554315}, {'lon': 0.8779857685208814, 'lat': 50.99147301470825}, {'lon': 0.8845483612723237, 'lat': 50.98972644746314}, {'lon': 0.890985749089126, 'lat': 50.98801271473318}, {'lon': 0.8910026181492623, 'lat': 50.98800817804101}, {'lon': 0.8923113872901265, 'lat': 50.987653421958434}, {'lon': 0.8949288637794779, 'lat': 50.986943867660216}]","[{'x': -8310.531, 'y': -830.42566, 'z': -143.61795}, {'x': -8585.23, 'y': -709.8412, 'z': -143.90701}, {'x': -8587.814, 'y': -708.68414, 'z': -143.9045}, {'x': -8132.8745, 'y': -916.12, 'z': -144.3068}, {'x': -7686.582, 'y': -1119.6129, 'z': -143.70174}, {'x': -7685.4126, 'y': -1120.1512, 'z': -143.69946}, {'x': -7594.694, 'y': -1162.2231, 'z': -143.43375}, {'x': -7413.257, 'y': -1246.3666, 'z': -142.61597}]"
26,Termination GP_CS line_002,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Pipelay GP_CS line_002/Termination GP_CS line_002,Pipelay,2021-11-21 06:05:13.189,2021-11-22 06:05:13.189,GP_CS line_002,,,,,
27,TRANSIT : GP_CS line_002 - Aberdeen,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/TRANSIT : GP_CS line_002 - Aberdeen,Transit,2021-11-22 06:05:13.189,2021-11-22 20:21:13.189,,391280.4635099155,,,"[{'lon': 0.8923817, 'lat': 58.038128}, {'lon': -1.0, 'lat': 58.333332}, {'lon': -2.0, 'lat': 57.333332}, {'lon': -2.0928094, 'lat': 57.148243}]","[{'x': 15898.422313446412, 'y': 783168.4413231108, 'z': 0}, {'x': 257440.45487837069, 'y': 815833.2144846478, 'z': 0}, {'x': 200535.73504679644, 'y': 703205.476901249, 'z': 0}, {'x': 195222.94259190297, 'y': 682524.2182359509, 'z': 0}]"
28,Demobilisation,/OSC-P010-C008-S002/slay/Trip 1 Pipelay/Interim demobilisation/Demobilisation,Demobilisation,2021-11-22 20:21:13.189,2021-11-23 20:21:13.189,,0.0,,,[],[]
