,x(m),z(m)
0,0.0,0.0
1,0.553482499201202,-4.975234615274999
2,1.1172380121158554,-9.949209173908823
3,1.691735742788829,-14.921847512840747
4,2.2773125061400776,-19.89308589234733
5,2.8664739204596543,-24.86386707682393
6,3.4583931244182224,-29.834294490697445
7,4.066133743645622,-34.91483234964412
8,4.676394085482457,-39.99504466898599
9,5.289193244433477,-45.07492787616086
10,5.904552285087583,-50.154478130634516
11,6.522492548675785,-55.23369152562985
12,7.143035642512537,-60.31256408856156
13,7.766203444111142,-65.39109177968562
14,8.39201808823723,-70.46927049282826
15,9.0205000302972,-75.54709629422901
16,9.637710450520437,-80.51421716725913
17,10.257088798708317,-85.48104940383581
18,10.878648221062079,-90.44759039674446
19,11.50240400813226,-95.41383725167428
20,12.128371629752174,-100.37978703092394
21,12.756566718610742,-105.34543675500144
22,13.387005072185445,-110.31078340192455
23,14.0197026385991,-115.2758239085599
24,14.654673820915704,-120.24055538705508
25,15.291757002486591,-125.20499898735916
26,15.930787238112387,-130.16917649761345
27,16.571774632504727,-135.13308583588343
28,17.214731105236964,-140.09672467286705
29,17.859668701166896,-145.06009064842323
30,18.50659957521043,-150.02318137325935
31,19.15553599350796,-154.98599442850355
32,19.80649033477156,-159.9485273652475
33,20.459475091653843,-164.910777704081
34,21.114502872137592,-169.87274293461766
35,21.771586400946497,-174.83442051501183
36,22.430738520977187,-179.7958078714663
37,23.09197219475311,-184.75690239773127
38,23.755300505900706,-189.71770145459317
39,24.420736660648032,-194.6782023693546
40,25.088293989346553,-199.63840243530393
41,25.757985948016227,-204.59829891117488
42,26.42982611991458,-209.55788902059612
43,27.103828217129518,-214.5171699515301
44,27.780006082144084,-219.47613885570846
45,28.457336339654574,-224.42722262503335
46,29.136863702213205,-229.37798953422188
47,29.8186023482711,-234.32843663636078
48,30.502566592562744,-239.27856094614367
49,31.188770887894734,-244.22835943923917
50,31.877229826909172,-249.17782905165424
51,32.56795814387459,-254.12696667908514
52,33.26097071650513,-259.0757691762556
53,33.956282567808856,-264.024233356242
54,34.65390886796551,-268.9723559897853
55,35.353864936234345,-273.9201338045893
56,36.05616624289263,-278.8675634846048
57,36.76082841120541,-283.81464166930004
58,37.46786721942715,-288.76136495291587
59,38.177298602835705,-293.70772988370646
60,38.88913865579951,-298.65373296316466
61,39.60340363387837,-303.5993706452314
62,40.32010995595877,-308.54463933548965
63,41.03927420642404,-313.48953539034176
64,41.76091313736033,-318.43405511616976
65,42.48504367079914,-323.3781947684789
66,43.21168290099672,-328.3219505510234
67,43.94084809675152,-333.2653186149144
68,44.67255670376025,-338.2082950577093
69,45.406826347013165,-343.1508759224823
70,46.14367483322974,-348.09305719687586
71,46.883120153335085,-353.0348348121318
72,47.625180484978245,-357.97620464210297
73,48.36987419509313,-362.9171625022433
74,49.117219842502806,-367.8577041485774
75,49.86723618056823,-372.79782527664764
76,50.61994215988216,-377.73752152043954
77,51.375356931009236,-382.67678845128387
78,52.133499847273185,-387.6156215767355
79,52.89439046759199,-392.55401633942836
80,53.658048559362186,-397.49196811590525
81,54.42449410139314,-402.42947221542335
82,55.193747286892346,-407.3665238787329
83,55.965828526503,-412.30311827683005
84,56.74075845139457,-417.2392505096822
85,57.51855791640784,-422.1749156049256
86,58.299248003255286,-427.1101085165343
87,59.082850023777965,-432.0448241234598
88,59.86938552326046,-436.9790572282408
89,60.658876283804446,-441.9128025555818
90,61.451344327762754,-446.8460547509005
91,62.24681192123484,-451.7788083788425
92,63.04530157762498,-456.71105792176246
93,63.84683606126481,-461.6427977781718
94,64.65143839110108,-466.57402226115073
95,65.45913184445061,-471.50472559672465
96,66.26993996082342,-476.4349019222034
97,67.08388654581572,-481.36454528448286
98,67.90099567507411,-486.29364963830767
99,68.72129169833295,-491.2222088444936
100,69.54479924352574,-496.15021666810964
101,70.371543220973,-501.0776667766173
102,71.20154882764751,-506.0045527379673
103,72.03484155151934,-510.93086801865104
104,72.87144717598167,-515.8566059817077
105,73.71139178436005,-520.7817598846835
106,74.55470176450595,-525.7063228775429
107,75.40140381347743,-530.6302880005311
108,76.25152494230824,-535.553648181985
109,77.10509248086744,-540.4763962360922
110,77.96213408281193,-545.3985248605971
111,78.82267773063333,-550.3200266344503
112,79.68675174080204,-555.2408940154029
113,80.55438476901008,-560.1611193375415
114,81.42560581551534,-565.0806948087642
115,82.30044423058942,-569.999612508194
116,83.17892972007135,-574.9178643835298
117,84.06109235102981,-579.835442248332
118,84.94696255753603,-584.7523377792405
119,85.8365711465502,-589.668542513125
120,86.72994930392403,-594.5840478441631
121,87.62712860052184,-599.4988450208469
122,88.52814099846333,-604.4129251429132
123,89.4330188574904,-609.3262791581973
124,90.34179494146164,-614.2388978594071
125,91.25450242497652,-619.1507718808155
126,92.17117490013325,-624.0618916948682
127,93.09184638342293,-628.9722476087059
128,94.01655132276326,-633.8818297605955
129,94.94532460467556,-638.7906281162707
130,95.87820156160771,-643.698632465178
131,96.81521797940732,-648.6058324166239
132,97.7564101049484,-653.5122173958235
133,98.70181465391494,-658.4177766398439
134,99.65146881874554,-663.3224991934416
135,100.60541027674324,-668.226373904791
136,101.56367719835367,-673.1293894210979
137,102.52630825561661,-678.0315341840978
138,103.49334263079447,-682.9327964254327
139,104.46482002518258,-687.833164161905
140,105.44078066810519,-692.7326251906022
